City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
256,Bambous Virieux,40,MU,1581309786,74,-20.34,57.76,80.78,81,13.87
257,Tuktoyaktuk,20,CA,1581309787,67,69.45,-133.04,-23.8,-23.8,8.05
258,Pangnirtung,100,CA,1581309789,90,66.15,-65.71,-21.5,-21.5,2.68
259,Zhigansk,96,RU,1581309791,84,66.77,123.37,-12.95,-12.95,6.55
260,Rabupura,20,IN,1581309792,87,28.25,77.6,56.8,66.99,5.82
261,Carnarvon,0,AU,1581309727,61,-24.87,113.63,82.4,82.4,16.11
262,Sangmelima,85,CM,1581309796,85,2.93,11.98,70.93,70.93,3.6
262,Clyde River,90,CA,1581309566,69,70.47,-68.59,-11.2,-11.2,20.8
263,Poum,100,NC,1581309654,85,-20.23,164.02,79.39,79.39,43.06
264,Mar del Plata,75,AR,1581309743,67,-38,-57.56,60.94,61,9.17
265,Mareeba,75,AU,1581309802,78,-17,145.43,83.98,84.99,9.17
266,Airai,83,TL,1581309458,78,-8.93,125.41,76.41,76.41,3.15
267,Mabaruma,0,GY,1581309805,97,8.2,-59.78,67.14,67.14,1.52
268,Leshukonskoye,100,RU,1581309638,98,64.9,45.76,33.87,33.87,10.96
269,Bulgan,26,MN,1581309809,71,48.81,103.53,34.32,34.32,3.91
270,Isangel,90,VU,1581309810,88,-19.55,169.27,82.4,82.4,17.22
271,Kapoeta,38,SS,1581309812,29,4.77,33.59,86.9,86.9,7.34
272,Geraldton,0,AU,1581309269,29,-28.77,114.6,87.8,87.8,23.04
273,Beringovskiy,0,RU,1581309815,85,63.05,179.32,-15.02,-15.02,3.56
274,Jambusar,0,IN,1581309817,52,22.05,72.8,64.4,64.4,5.82
275,Nsanje,100,MW,1581309819,96,-16.92,35.26,76.01,76.01,1.97
276,Saint-Pierre,75,RE,1581309821,83,-21.34,55.48,77.25,82.4,6.93
277,Takestan,99,IR,1581309822,85,36.07,49.7,23,23,4.7
278,Garoowe,30,SO,1581309824,62,8.41,48.48,73.38,73.38,12.55
279,Annonay,75,FR,1581309826,62,45.24,4.67,53.51,57.99,17.22
279,Lugovoy,100,KZ,1581309827,86,42.95,72.76,44.74,44.74,10.07
280,Arlit,0,NE,1581309829,17,18.74,7.39,64.62,64.62,9.01
281,Palimbang,91,PH,1581309831,69,6.21,124.19,82.56,82.56,6.58
282,Cidreira,38,BR,1581309806,58,-30.18,-50.21,72.63,72.63,8.93
283,Port-Gentil,47,GA,1581309834,75,-0.72,8.78,82.33,82.33,9.28
284,Mangan,0,IN,1581309835,29,27.52,88.53,50.16,50.16,6.38
285,Umm Kaddadah,4,SD,1581309837,29,13.6,26.69,57.7,57.7,23.98
286,Krasnyy Chikoy,0,RU,1581309839,84,50.36,108.75,29.03,29.03,2.15
287,Bilma,2,NE,1581309293,22,18.69,12.92,56.16,56.16,8.79
288,Samarai,30,PG,1581309842,65,-10.62,150.67,87.1,87.1,2.57
289,Siemiatycze,100,PL,1581309844,67,52.43,22.86,37,37,5.99
290,Nowy Sacz,100,PL,1581309845,74,49.62,20.7,40.55,46.99,16.11
291,Nanortalik,0,GL,1581309415,58,60.14,-45.24,22.08,22.08,42.97
292,Maraa,66,BR,1581309849,65,-1.83,-65.37,79.23,79.23,2.44
293,Yertsevo,100,RU,1581309850,91,60.8,40.09,29.5,29.5,13.02
294,Sohbatpur,91,PK,1581309852,16,28.52,68.54,72.32,72.32,6.67
295,Kununurra,100,AU,1581309854,50,-15.77,128.73,96.8,96.8,2.24
296,Derzhavinsk,69,KZ,1581309855,95,51.1,66.32,-4.81,-4.81,4.72
297,Paraopeba,75,BR,1581309857,88,-19.28,-44.4,68,68,9.17
297,Katherine,40,AU,1581309358,50,-14.47,132.27,96.8,96.8,9.17
298,Kudahuvadhoo,62,MV,1581309860,79,2.67,72.89,82.22,82.22,13.09
299,Victoria Point,20,AU,1581309764,78,-27.58,153.3,84.6,87.01,12.75
300,Okoneshnikovo,33,RU,1581309863,94,54.84,75.08,-4.99,-4.99,5.64
301,Loveland,1,US,1581309662,85,40.4,-105.08,17.92,21.2,2.73
301,Zyryanka,99,RU,1581309783,69,65.75,150.85,-16.08,-16.08,8.86
301,Luderitz,0,NA,1581309560,77,-26.65,15.16,66.2,66.2,18.34
302,Vostok,59,RU,1581309829,72,46.49,135.88,5.47,5.47,4.18
302,San Patricio,0,MX,1581309872,77,19.22,-104.7,76.51,76.51,5.06
303,Charters Towers,62,AU,1581309873,40,-20.1,146.27,94.44,94.44,10.4
